Name,geometry_layer,wkt
Section #59,"Section #59, 132kV, 'ad400', from Str. #709 Set 21 'AG-P1' to Str. #710 Set 41
                    'AD-P1', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-sup'",POINT Z (8.0554811683 47.4042689858 382.8332)
,"Section #59, 132kV, 'ad400', from Str. #709 Set 21 'AG-P1' to Str. #710 Set 41
                    'AD-P1', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-sup'","MULTILINESTRING Z ((8.056227839 47.4047529247 387.06, 8.0561946541 47.4047314169 386.6685, 8.0561614692 47.4047099091 386.296, 8.0561282844 47.4046884012 385.9425, 8.0560950995 47.4046668934 385.6079, 8.0560619147 47.4046453855 385.2923, 8.0560287299 47.4046238777 384.9957, 8.0559955451 47.4046023698 384.7181, 8.0559623604 47.4045808619 384.4593, 8.0559291757 47.404559354 384.2196, 8.055895991 47.4045378461 383.9987, 8.0558628064 47.4045163382 383.7968, 8.0558296217 47.4044948303 383.6138, 8.0557964371 47.4044733223 383.4497, 8.0557632526 47.4044518144 383.3045, 8.055730068 47.4044303064 383.1782, 8.0556968835 47.4044087985 383.0708, 8.055663699 47.4043872905 382.9823, 8.0556305145 47.4043657825 382.9127, 8.0555973301 47.4043442745 382.8619, 8.0555641457 47.4043227665 382.8301, 8.0555309613 47.4043012585 382.8171, 8.0554977769 47.4042797505 382.8231, 8.0554645926 47.4042582425 382.8479, 8.0554314083 47.4042367344 382.8916, 8.055398224 47.4042152264 382.9542, 8.0553650398 47.4041937183 383.0357, 8.0553318555 47.4041722102 383.1361, 8.0552986713 47.4041507022 383.2554, 8.0552654872 47.4041291941 383.3936, 8.055232303 47.404107686 383.5507, 8.0551991189 47.4040861779 383.7267, 8.0551659348 47.4040646698 383.9216, 8.0551327507 47.4040431616 384.1354, 8.0550995667 47.4040216535 384.3682, 8.0550663827 47.4040001453 384.6199, 8.0550331987 47.4039786372 384.8905, 8.0550000148 47.403957129 385.1801, 8.0549668308 47.4039356208 385.4886, 8.0549336469 47.4039141127 385.8161, 8.054900463 47.4038926045 386.1626, 8.0548672792 47.4038710963 386.528, 8.0548340954 47.4038495881 386.9125, 8.0548009116 47.4038280798 387.316, 8.0547677278 47.4038065716 387.7385, 8.0547345441 47.4037850634 388.18))"
Section #60,"Section #60, 132kV, 'ad400', from Str. #709 Set 22 'AG-P2' to Str. #710 Set 22
                    'AG-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'",POINT Z (8.0554782775 47.4042716744 379.8241)
,"Section #60, 132kV, 'ad400', from Str. #709 Set 22 'AG-P2' to Str. #710 Set 22
                    'AG-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'","MULTILINESTRING Z ((8.0562245676 47.4047568351 384.06, 8.0561913996 47.404735273 383.6677, 8.0561582316 47.4047137108 383.2944, 8.0561250637 47.4046921487 382.9402, 8.0560918958 47.4046705866 382.605, 8.0560587279 47.4046490244 382.2888, 8.05602556 47.4046274622 381.9915, 8.0559923921 47.4046059001 381.7133, 8.0559592243 47.4045843379 381.4541, 8.0559260565 47.4045627757 381.2138, 8.0558928888 47.4045412135 380.9925, 8.055859721 47.4045196513 380.7901, 8.0558265533 47.404498089 380.6067, 8.0557933856 47.4044765268 380.4422, 8.055760218 47.4044549645 380.2967, 8.0557270503 47.4044334023 380.1701, 8.0556938827 47.40441184 380.0625, 8.0556607152 47.4043902778 379.9738, 8.0556275476 47.4043687155 379.904, 8.0555943801 47.4043471532 379.8531, 8.0555612126 47.4043255909 379.8212, 8.0555280451 47.4043040286 379.8082, 8.0554948777 47.4042824663 379.8141, 8.0554617102 47.4042609039 379.8389, 8.0554285429 47.4042393416 379.8826, 8.0553953755 47.4042177792 379.9453, 8.0553622082 47.4041962169 380.0269, 8.0553290409 47.4041746545 380.1274, 8.0552958736 47.4041530921 380.2469, 8.0552627063 47.4041315297 380.3853, 8.0552295391 47.4041099673 380.5426, 8.0551963719 47.4040884049 380.7189, 8.0551632047 47.4040668425 380.9142, 8.0551300376 47.4040452801 381.1283, 8.0550968704 47.4040237176 381.3615, 8.0550637033 47.4040021552 381.6136, 8.0550305363 47.4039805927 381.8847, 8.0549973692 47.4039590303 382.1748, 8.0549642022 47.4039374678 382.4839, 8.0549310352 47.4039159053 382.8119, 8.0548978683 47.4038943428 383.159, 8.0548647013 47.4038727803 383.5251, 8.0548315344 47.4038512178 383.9103, 8.0547983676 47.4038296553 384.3144, 8.0547652007 47.4038080927 384.7377, 8.0547320339 47.4037865302 385.18))"
Section #61,"Section #61, 132kV, 'ad400', from Str. #709 Set 23 'AG-P3' to Str. #710 Set 23
                    'AG-P3', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-inf'",POINT Z (8.0554811683 47.4042689858 376.8332)
,"Section #61, 132kV, 'ad400', from Str. #709 Set 23 'AG-P3' to Str. #710 Set 23
                    'AG-P3', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-inf'","MULTILINESTRING Z ((8.056227839 47.4047529247 381.06, 8.0561946541 47.4047314169 380.6685, 8.0561614692 47.4047099091 380.296, 8.0561282844 47.4046884012 379.9425, 8.0560950995 47.4046668934 379.6079, 8.0560619147 47.4046453855 379.2923, 8.0560287299 47.4046238777 378.9957, 8.0559955451 47.4046023698 378.7181, 8.0559623604 47.4045808619 378.4593, 8.0559291757 47.404559354 378.2196, 8.055895991 47.4045378461 377.9987, 8.0558628064 47.4045163382 377.7968, 8.0558296217 47.4044948303 377.6138, 8.0557964371 47.4044733223 377.4497, 8.0557632526 47.4044518144 377.3045, 8.055730068 47.4044303064 377.1782, 8.0556968835 47.4044087985 377.0708, 8.055663699 47.4043872905 376.9823, 8.0556305145 47.4043657825 376.9127, 8.0555973301 47.4043442745 376.8619, 8.0555641457 47.4043227665 376.8301, 8.0555309613 47.4043012585 376.8171, 8.0554977769 47.4042797505 376.8231, 8.0554645926 47.4042582425 376.8479, 8.0554314083 47.4042367344 376.8916, 8.055398224 47.4042152264 376.9542, 8.0553650398 47.4041937183 377.0357, 8.0553318555 47.4041722102 377.1361, 8.0552986713 47.4041507022 377.2554, 8.0552654872 47.4041291941 377.3936, 8.055232303 47.404107686 377.5507, 8.0551991189 47.4040861779 377.7267, 8.0551659348 47.4040646698 377.9216, 8.0551327507 47.4040431616 378.1354, 8.0550995667 47.4040216535 378.3682, 8.0550663827 47.4040001453 378.6199, 8.0550331987 47.4039786372 378.8905, 8.0550000148 47.403957129 379.1801, 8.0549668308 47.4039356208 379.4886, 8.0549336469 47.4039141127 379.8161, 8.054900463 47.4038926045 380.1626, 8.0548672792 47.4038710963 380.528, 8.0548340954 47.4038495881 380.9125, 8.0548009116 47.4038280798 381.316, 8.0547677278 47.4038065716 381.7385, 8.0547345441 47.4037850634 382.18))"
Section #62,"Section #62, 132kV, 'ad400', from Str. #709 Set 24 'AG-P4' to Str. #710 Set 24
                    'AG-P4', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-sup'",POINT Z (8.0555201171 47.4042362323 382.9333)
,"Section #62, 132kV, 'ad400', from Str. #709 Set 24 'AG-P4' to Str. #710 Set 24
                    'AG-P4', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-sup'","MULTILINESTRING Z ((8.0562605532 47.4047138209 387.06, 8.0562276454 47.4046925953 386.6772, 8.0561947376 47.4046713697 386.313, 8.0561618298 47.4046501441 385.9674, 8.0561289221 47.4046289185 385.6404, 8.0560960143 47.4046076929 385.3319, 8.0560631067 47.4045864673 385.0421, 8.056030199 47.4045652416 384.7707, 8.0559972914 47.404544016 384.5179, 8.0559643838 47.4045227903 384.2837, 8.0559314762 47.4045015646 384.068, 8.0558985686 47.404480339 383.8708, 8.0558656611 47.4044591133 383.6921, 8.0558327536 47.4044378876 383.532, 8.0557998461 47.4044166618 383.3903, 8.0557669387 47.4043954361 383.2672, 8.0557340312 47.4043742104 383.1626, 8.0557011238 47.4043529847 383.0764, 8.0556682165 47.4043317589 383.0088, 8.0556353091 47.4043105332 382.9597, 8.0556024018 47.4042893074 382.929, 8.0555694945 47.4042680816 382.9168, 8.0555365872 47.4042468558 382.9232, 8.05550368 47.40422563 382.948, 8.0554707728 47.4042044042 382.9913, 8.0554378656 47.4041831784 383.0531, 8.0554049584 47.4041619526 383.1335, 8.0553720513 47.4041407268 383.2323, 8.0553391442 47.4041195009 383.3496, 8.0553062371 47.4040982751 383.4854, 8.05527333 47.4040770492 383.6397, 8.055240423 47.4040558233 383.8126, 8.055207516 47.4040345974 384.0039, 8.055174609 47.4040133716 384.2138, 8.0551417021 47.4039921457 384.4422, 8.0551087951 47.4039709197 384.6892, 8.0550758882 47.4039496938 384.9546, 8.0550429814 47.4039284679 385.2387, 8.0550100745 47.403907242 385.5413, 8.0549771677 47.403886016 385.8625, 8.0549442609 47.40386479 386.2022, 8.0549113541 47.4038435641 386.5606, 8.0548784474 47.4038223381 386.9375, 8.0548455407 47.4038011121 387.333, 8.054812634 47.4037798861 387.7472, 8.0547797273 47.4037586601 388.18))"
Section #63,"Section #63, 132kV, 'ad400', from Str. #709 Set 25 'AG-P5' to Str. #710 Set 25
                    'AG-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'",POINT Z (8.0555230079 47.4042335437 379.9437)
,"Section #63, 132kV, 'ad400', from Str. #709 Set 25 'AG-P5' to Str. #710 Set 25
                    'AG-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'","MULTILINESTRING Z ((8.0562638246 47.4047099105 384.06, 8.0562308998 47.4046887393 383.6781, 8.0561979751 47.404667568 383.3148, 8.0561650505 47.4046463967 382.97, 8.0561321258 47.4046252253 382.6438, 8.0560992012 47.404604054 382.3361, 8.0560662766 47.4045828827 382.0469, 8.056033352 47.4045617113 381.7762, 8.0560004274 47.40454054 381.524, 8.0559675029 47.4045193686 381.2903, 8.0559345784 47.4044981973 381.0752, 8.055901654 47.4044770259 380.8785, 8.0558687295 47.4044558545 380.7003, 8.0558358051 47.4044346831 380.5405, 8.0558028807 47.4044135117 380.3992, 8.0557699563 47.4043923403 380.2764, 8.055737032 47.4043711688 380.1721, 8.0557041077 47.4043499974 380.0862, 8.0556711834 47.404328826 380.0188, 8.0556382591 47.4043076545 379.9698, 8.0556053349 47.404286483 379.9393, 8.0555724107 47.4042653116 379.9272, 8.0555394865 47.4042441401 379.9336, 8.0555065623 47.4042229686 379.9584, 8.0554736382 47.4042017971 380.0017, 8.0554407141 47.4041806256 380.0634, 8.05540779 47.404159454 380.1436, 8.055374866 47.4041382825 380.2422, 8.0553419419 47.404117111 380.3593, 8.0553090179 47.4040959394 380.4949, 8.055276094 47.4040747678 380.6489, 8.05524317 47.4040535963 380.8215, 8.0552102461 47.4040324247 381.0124, 8.0551773222 47.4040112531 381.2219, 8.0551443983 47.4039900815 381.4499, 8.0551114745 47.4039689099 381.6963, 8.0550785507 47.4039477383 381.9613, 8.0550456269 47.4039265666 382.2448, 8.0550127031 47.403905395 382.5468, 8.0549797794 47.4038842234 382.8673, 8.0549468557 47.4038630517 383.2063, 8.054913932 47.40384188 383.5639, 8.0548810083 47.4038207084 383.9401, 8.0548480847 47.4037995367 384.3348, 8.0548151611 47.403778365 384.7481, 8.0547822375 47.4037571933 385.18))"
Section #64,"Section #64, 0kV, 'Erdseil200', from Str. #709 Set 39 'AG-G1' to Str. #710 Set
                    39 'AG-G1', Section at 10 degr�s 'Initial RS', Notes: 'DAM-cdg'",POINT Z (8.0555006581 47.404252619 386.5134)
,"Section #64, 0kV, 'Erdseil200', from Str. #709 Set 39 'AG-G1' to Str. #710 Set
                    39 'AG-G1', Section at 10 degr�s 'Initial RS', Notes: 'DAM-cdg'","MULTILINESTRING Z ((8.0562441961 47.4047333728 389.06, 8.0562111497 47.4047120061 388.8148, 8.0561781034 47.4046906394 388.5819, 8.0561450571 47.4046692727 388.3613, 8.0561120108 47.404647906 388.153, 8.0560789645 47.4046265392 387.9569, 8.0560459183 47.4046051725 387.7732, 8.0560128721 47.4045838057 387.6017, 8.0559798259 47.4045624389 387.4425, 8.0559467797 47.4045410722 387.2956, 8.0559137336 47.4045197054 387.161, 8.0558806875 47.4044983386 387.0386, 8.0558476414 47.4044769718 386.9285, 8.0558145954 47.4044556049 386.8307, 8.0557815493 47.4044342381 386.7452, 8.0557485033 47.4044128713 386.6719, 8.0557154574 47.4043915044 386.6109, 8.0556824114 47.4043701376 386.5622, 8.0556493655 47.4043487707 386.5257, 8.0556163196 47.4043274038 386.5015, 8.0555832737 47.404306037 386.4895, 8.0555502279 47.4042846701 386.4899, 8.0555171821 47.4042633032 386.5025, 8.0554841363 47.4042419362 386.5273, 8.0554510905 47.4042205693 386.5645, 8.0554180448 47.4041992024 386.6139, 8.0553849991 47.4041778355 386.6755, 8.0553519534 47.4041564685 386.7495, 8.0553189078 47.4041351015 386.8357, 8.0552858621 47.4041137346 386.9341, 8.0552528165 47.4040923676 387.0449, 8.055219771 47.4040710006 387.1679, 8.0551867254 47.4040496336 387.3032, 8.0551536799 47.4040282666 387.4508, 8.0551206344 47.4040068996 387.6106, 8.0550875889 47.4039855325 387.7827, 8.0550545435 47.4039641655 387.9671, 8.0550214981 47.4039427985 388.1638, 8.0549884527 47.4039214314 388.3728, 8.0549554073 47.4039000643 388.5941, 8.054922362 47.4038786973 388.8277, 8.0548893167 47.4038573302 389.0735, 8.0548562714 47.4038359631 389.3317, 8.0548232261 47.403814596 389.6022, 8.0547901809 47.4037932289 389.8849, 8.0547571357 47.4037718617 390.18))"
Section #65,"Section #65, 132kV, 'ad400', from Str. #709 Set 46 'AD-P6' to Str. #710 Set 26
                    'AG-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'",POINT Z (8.0555201171 47.4042362323 376.9333)
,"Section #65, 132kV, 'ad400', from Str. #709 Set 46 'AD-P6' to Str. #710 Set 26
                    'AG-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'","MULTILINESTRING Z ((8.0562605532 47.4047138209 381.06, 8.0562276454 47.4046925953 380.6772, 8.0561947376 47.4046713697 380.313, 8.0561618298 47.4046501441 379.9674, 8.0561289221 47.4046289185 379.6404, 8.0560960143 47.4046076929 379.3319, 8.0560631067 47.4045864673 379.0421, 8.056030199 47.4045652416 378.7707, 8.0559972914 47.404544016 378.5179, 8.0559643838 47.4045227903 378.2837, 8.0559314762 47.4045015646 378.068, 8.0558985686 47.404480339 377.8708, 8.0558656611 47.4044591133 377.6921, 8.0558327536 47.4044378876 377.532, 8.0557998461 47.4044166618 377.3903, 8.0557669387 47.4043954361 377.2672, 8.0557340312 47.4043742104 377.1626, 8.0557011238 47.4043529847 377.0764, 8.0556682165 47.4043317589 377.0088, 8.0556353091 47.4043105332 376.9597, 8.0556024018 47.4042893074 376.929, 8.0555694945 47.4042680816 376.9168, 8.0555365872 47.4042468558 376.9232, 8.05550368 47.40422563 376.948, 8.0554707728 47.4042044042 376.9913, 8.0554378656 47.4041831784 377.0531, 8.0554049584 47.4041619526 377.1335, 8.0553720513 47.4041407268 377.2323, 8.0553391442 47.4041195009 377.3496, 8.0553062371 47.4040982751 377.4854, 8.05527333 47.4040770492 377.6397, 8.055240423 47.4040558233 377.8126, 8.055207516 47.4040345974 378.0039, 8.055174609 47.4040133716 378.2138, 8.0551417021 47.4039921457 378.4422, 8.0551087951 47.4039709197 378.6892, 8.0550758882 47.4039496938 378.9546, 8.0550429814 47.4039284679 379.2387, 8.0550100745 47.403907242 379.5413, 8.0549771677 47.403886016 379.8625, 8.0549442609 47.40386479 380.2022, 8.0549113541 47.4038435641 380.5606, 8.0548784474 47.4038223381 380.9375, 8.0548455407 47.4038011121 381.333, 8.054812634 47.4037798861 381.7472, 8.0547797273 47.4037586601 382.18))"
Section #66,"Section #66, 132kV, 'ad400', from Str. #710 Set 22 'AG-P2' to Str. #711 Set 42
                    'AD-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'",POINT Z (8.0540475932 47.4031240226 382.0292)
,"Section #66, 132kV, 'ad400', from Str. #710 Set 22 'AG-P2' to Str. #711 Set 42
                    'AD-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'","MULTILINESTRING Z ((8.0547320339 47.4037865302 385.18, 8.0547016168 47.4037570883 384.783, 8.0546711997 47.4037276463 384.4099, 8.0546407827 47.4036982044 384.0608, 8.0546103657 47.4036687624 383.7356, 8.0545799487 47.4036393204 383.4344, 8.0545495318 47.4036098784 383.1571, 8.0545191149 47.4035804365 382.9037, 8.054488698 47.4035509945 382.6742, 8.0544582812 47.4035215525 382.4685, 8.0544278644 47.4034921104 382.2868, 8.0543974477 47.4034626684 382.129, 8.0543670309 47.4034332264 381.995, 8.0543366142 47.4034037844 381.8849, 8.0543061976 47.4033743423 381.7986, 8.0542757809 47.4033449003 381.7363, 8.0542453643 47.4033154582 381.6977, 8.0542149478 47.4032860161 381.6831, 8.0541845313 47.403256574 381.6923, 8.0541541148 47.403227132 381.7253, 8.0541236983 47.4031976899 381.7822, 8.0540932819 47.4031682478 381.863, 8.0540628655 47.4031388056 381.9676, 8.0540324491 47.4031093635 382.0961, 8.0540020328 47.4030799214 382.2485, 8.0539716165 47.4030504793 382.4248, 8.0539412003 47.4030210371 382.6249, 8.053910784 47.402991595 382.8489, 8.0538803678 47.4029621528 383.0969, 8.0538499517 47.4029327106 383.3687, 8.0538195356 47.4029032685 383.6644, 8.0537891195 47.4028738263 383.9841, 8.0537587034 47.4028443841 384.3277, 8.0537282874 47.4028149419 384.6953, 8.0536978714 47.4027854997 385.0868, 8.0536674555 47.4027560574 385.5024, 8.0536370395 47.4027266152 385.9419, 8.0536066237 47.402697173 386.4054, 8.0535762078 47.4026677307 386.8929, 8.053545792 47.4026382885 387.4045, 8.0535153762 47.4026088462 387.9402, 8.0534849604 47.4025794039 388.4999, 8.0534545447 47.4025499617 389.0837, 8.053424129 47.4025205194 389.6917, 8.0533937134 47.4024910771 390.3237, 8.0533632978 47.4024616348 390.98))"
Section #67,"Section #67, 132kV, 'ad400', from Str. #710 Set 23 'AG-P3' to Str. #711 Set 43
                    'AD-P3', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-inf'",POINT Z (8.0540502041 47.4031226436 379.029)
,"Section #67, 132kV, 'ad400', from Str. #710 Set 23 'AG-P3' to Str. #711 Set 43
                    'AD-P3', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-inf'","MULTILINESTRING Z ((8.0547345441 47.4037850634 382.18, 8.0547041314 47.4037556253 381.783, 8.0546737189 47.4037261873 381.4099, 8.0546433063 47.4036967492 381.0607, 8.0546128938 47.4036673112 380.7356, 8.0545824813 47.4036378731 380.4343, 8.0545520688 47.403608435 380.157, 8.0545216564 47.403578997 379.9036, 8.054491244 47.4035495589 379.6741, 8.0544608317 47.4035201208 379.4684, 8.0544304193 47.4034906827 379.2867, 8.0544000071 47.4034612446 379.1288, 8.0543695948 47.4034318064 378.9949, 8.0543391826 47.4034023683 378.8847, 8.0543087704 47.4033729302 378.7985, 8.0542783583 47.403343492 378.7361, 8.0542479461 47.4033140539 378.6976, 8.0542175341 47.4032846157 378.6829, 8.054187122 47.4032551775 378.6921, 8.05415671 47.4032257393 378.7251, 8.054126298 47.4031963012 378.7821, 8.054095886 47.403166863 378.8628, 8.0540654741 47.4031374248 378.9675, 8.0540350623 47.4031079865 379.096, 8.0540046504 47.4030785483 379.2483, 8.0539742386 47.4030491101 379.4246, 8.0539438268 47.4030196719 379.6247, 8.0539134151 47.4029902336 379.8488, 8.0538830033 47.4029607954 380.0967, 8.0538525917 47.4029313571 380.3685, 8.05382218 47.4029019188 380.6643, 8.0537917684 47.4028724805 380.984, 8.0537613568 47.4028430423 381.3276, 8.0537309453 47.402813604 381.6952, 8.0537005338 47.4027841656 382.0867, 8.0536701223 47.4027547273 382.5022, 8.0536397108 47.402725289 382.9418, 8.0536092994 47.4026958507 383.4053, 8.053578888 47.4026664123 383.8928, 8.0535484767 47.402636974 384.4044, 8.0535180654 47.4026075357 384.9401, 8.0534876541 47.4025780973 385.4998, 8.0534572429 47.4025486589 386.0837, 8.0534268317 47.4025192205 386.6916, 8.0533964205 47.4024897822 387.3237, 8.0533660093 47.4024603438 387.98))"
Section #68,"Section #68, 132kV, 'ad400', from Str. #710 Set 24 'AG-P4' to Str. #711 Set 44
                    'AD-P4', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-sup'",POINT Z (8.0540971999 47.4030978227 385.0609)
,"Section #68, 132kV, 'ad400', from Str. #710 Set 24 'AG-P4' to Str. #711 Set 44
                    'AD-P4', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-sup'","MULTILINESTRING Z ((8.0547797273 47.4037586601 388.18, 8.0547493953 47.4037292924 387.7857, 8.0547190632 47.4036999247 387.4153, 8.0546887312 47.403670557 387.0687, 8.0546583993 47.4036411892 386.7459, 8.0546280673 47.4036118215 386.4469, 8.0545977354 47.4035824538 386.1717, 8.0545674036 47.403553086 385.9203, 8.0545370717 47.4035237182 385.6927, 8.0545067399 47.4034943505 385.4889, 8.0544764082 47.4034649827 385.3088, 8.0544460765 47.4034356149 385.1524, 8.0544157448 47.4034062471 385.0198, 8.0543854131 47.4033768793 384.911, 8.0543550815 47.4033475115 384.8258, 8.0543247499 47.4033181437 384.7645, 8.0542944183 47.4032887758 384.7268, 8.0542640868 47.403259408 384.7129, 8.0542337553 47.4032300401 384.7227, 8.0542034238 47.4032006723 384.7563, 8.0541730924 47.4031713044 384.8136, 8.054142761 47.4031419365 384.8946, 8.0541124296 47.4031125687 384.9994, 8.0540820983 47.4030832008 385.1279, 8.054051767 47.4030538329 385.2801, 8.0540214357 47.403024465 385.4561, 8.0539911045 47.4029950971 385.6559, 8.0539607733 47.4029657291 385.8794, 8.0539304422 47.4029363612 386.1267, 8.053900111 47.4029069933 386.3978, 8.0538697799 47.4028776253 386.6927, 8.0538394489 47.4028482574 387.0114, 8.0538091178 47.4028188894 387.3538, 8.0537787868 47.4027895214 387.7202, 8.0537484559 47.4027601535 388.1103, 8.053718125 47.4027307855 388.5243, 8.0536877941 47.4027014175 388.9622, 8.0536574632 47.4026720495 389.424, 8.0536271324 47.4026426815 389.9096, 8.0535968016 47.4026133134 390.4192, 8.0535664708 47.4025839454 390.9527, 8.0535361401 47.4025545774 391.5102, 8.0535058094 47.4025252093 392.0916, 8.0534754787 47.4024958413 392.6971, 8.0534451481 47.4024664732 393.3265, 8.0534148175 47.4024371052 393.98))"
Section #69,"Section #69, 132kV, 'ad400', from Str. #710 Set 25 'AG-P5' to Str. #711 Set 45
                    'AD-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'",POINT Z (8.0540998108 47.4030964437 382.0626)
,"Section #69, 132kV, 'ad400', from Str. #710 Set 25 'AG-P5' to Str. #711 Set 45
                    'AD-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'","MULTILINESTRING Z ((8.0547822375 47.4037571933 385.18, 8.0547519099 47.4037278295 384.7859, 8.0547215824 47.4036984657 384.4156, 8.0546912548 47.4036691018 384.0691, 8.0546609274 47.403639738 383.7465, 8.0546305999 47.4036103742 383.4476, 8.0546002725 47.4035810103 383.1725, 8.0545699451 47.4035516465 382.9212, 8.0545396177 47.4035222826 382.6937, 8.0545092904 47.4034929188 382.4899, 8.0544789631 47.4034635549 382.3099, 8.0544486359 47.403434191 382.1536, 8.0544183086 47.4034048271 382.0211, 8.0543879815 47.4033754632 381.9123, 8.0543576543 47.4033460993 381.8273, 8.0543273272 47.4033167354 381.7659, 8.0542970001 47.4032873715 381.7283, 8.054266673 47.4032580076 381.7145, 8.054236346 47.4032286436 381.7243, 8.054206019 47.4031992797 381.7579, 8.0541756921 47.4031699157 381.8152, 8.0541453652 47.4031405517 381.8963, 8.0541150383 47.4031111878 382.001, 8.0540847114 47.4030818238 382.1295, 8.0540543846 47.4030524598 382.2818, 8.0540240578 47.4030230958 382.4578, 8.053993731 47.4029937318 382.6575, 8.0539634043 47.4029643678 382.881, 8.0539330776 47.4029350038 383.1283, 8.053902751 47.4029056397 383.3993, 8.0538724244 47.4028762757 383.6942, 8.0538420978 47.4028469116 384.0128, 8.0538117712 47.4028175476 384.3552, 8.0537814447 47.4027881835 384.7215, 8.0537511182 47.4027588195 385.1116, 8.0537207918 47.4027294554 385.5255, 8.0536904654 47.4027000913 385.9633, 8.053660139 47.4026707272 386.425, 8.0536298126 47.4026413631 386.9105, 8.0535994863 47.402611999 387.42, 8.05356916 47.4025826349 387.9534, 8.0535388338 47.4025532707 388.5107, 8.0535085075 47.4025239066 389.0921, 8.0534781814 47.4024945424 389.6974, 8.0534478552 47.4024651783 390.3267, 8.0534175291 47.4024358141 390.98))"
Section #70,"Section #70, 132kV, 'ad400', from Str. #710 Set 26 'AG-P6' to Str. #711 Set 46
                    'AD-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'",POINT Z (8.0540971999 47.4030978227 379.0609)
,"Section #70, 132kV, 'ad400', from Str. #710 Set 26 'AG-P6' to Str. #711 Set 46
                    'AD-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'","MULTILINESTRING Z ((8.0547797273 47.4037586601 382.18, 8.0547493953 47.4037292924 381.7857, 8.0547190632 47.4036999247 381.4153, 8.0546887312 47.403670557 381.0687, 8.0546583993 47.4036411892 380.7459, 8.0546280673 47.4036118215 380.4469, 8.0545977354 47.4035824538 380.1717, 8.0545674036 47.403553086 379.9203, 8.0545370717 47.4035237182 379.6927, 8.0545067399 47.4034943505 379.4889, 8.0544764082 47.4034649827 379.3088, 8.0544460765 47.4034356149 379.1524, 8.0544157448 47.4034062471 379.0198, 8.0543854131 47.4033768793 378.911, 8.0543550815 47.4033475115 378.8258, 8.0543247499 47.4033181437 378.7645, 8.0542944183 47.4032887758 378.7268, 8.0542640868 47.403259408 378.7129, 8.0542337553 47.4032300401 378.7227, 8.0542034238 47.4032006723 378.7563, 8.0541730924 47.4031713044 378.8136, 8.054142761 47.4031419365 378.8946, 8.0541124296 47.4031125687 378.9994, 8.0540820983 47.4030832008 379.1279, 8.054051767 47.4030538329 379.2801, 8.0540214357 47.403024465 379.4561, 8.0539911045 47.4029950971 379.6559, 8.0539607733 47.4029657291 379.8794, 8.0539304422 47.4029363612 380.1267, 8.053900111 47.4029069933 380.3978, 8.0538697799 47.4028776253 380.6927, 8.0538394489 47.4028482574 381.0114, 8.0538091178 47.4028188894 381.3538, 8.0537787868 47.4027895214 381.7202, 8.0537484559 47.4027601535 382.1103, 8.053718125 47.4027307855 382.5243, 8.0536877941 47.4027014175 382.9622, 8.0536574632 47.4026720495 383.424, 8.0536271324 47.4026426815 383.9096, 8.0535968016 47.4026133134 384.4192, 8.0535664708 47.4025839454 384.9527, 8.0535361401 47.4025545774 385.5102, 8.0535058094 47.4025252093 386.0916, 8.0534754787 47.4024958413 386.6971, 8.0534451481 47.4024664732 387.3265, 8.0534148175 47.4024371052 387.98))"
Section #71,"Section #71, 132kV, 'ad400', from Str. #710 Set 41 'AD-P1' to Str. #711 Set 41
                    'AD-P1', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-sup'",POINT Z (8.0540502041 47.4031226436 385.029)
